Supply,Amount,Unit Price,Total Price,Artist Fee,Platform Fee
2426500.0,22000,13.018707,287721.767887,43158.265183049996,14386.088394350001
2448600.0,22100,13.102249,290878.282699,43631.742404849996,14543.914134949999
2470800.0,22200,13.185943,294054.890553,44108.23358294999,14702.74452765
2493100.0,22300,13.269789,297251.627797,44587.744169549995,14862.58138985
2515500.0,22400,13.353785,300468.530686,45070.2796029,15023.4265343
2538000.0,22500,13.437932,303705.635374,45555.8453061,15185.2817687
2560600.0,22600,13.522229,306962.977921,46044.44668815,15348.14889605
2583300.0,22700,13.606676,310240.59429,46536.089143499994,15512.0297145
2606100.0,22800,13.691273,313538.520347,47030.778052049995,15676.92601735
2629000.0,22900,13.776018,316856.791865,47528.51877975,15842.839593249999
2652000.0,23000,13.860912,320195.444523,48029.31667845,16009.77222615
2675100.0,23100,13.945954,323554.513907,48533.177086050004,16177.725695350002
2698300.0,23200,14.031143,326934.035508,49040.1053262,16346.7017754
2721600.0,23300,14.116481,330334.044728,49550.1067092,16516.7022364
2745000.0,23400,14.201965,333754.576875,50063.18653125,16687.728843750003
2768500.0,23500,14.287596,337195.667167,50579.35007505,16859.78335835
2792100.0,23600,14.373373,340657.350733,51098.60260995,17032.867536650003
2815800.0,23700,14.459296,344139.66261,51620.9493915,17206.9831305
2839600.0,23800,14.545365,347642.637749,52146.39566235,17382.13188745
2863500.0,23900,14.631579,351166.31101,52674.9466515,17558.3155505
2887500.0,24000,14.717937,354710.717166,53206.607574899994,17735.5358583
2911600.0,24100,14.80444,358275.890903,53741.38363545,17913.79454515
2935800.0,24200,14.891088,361861.866821,54279.28002315,18093.09334105
2960100.0,24300,14.977878,365468.679433,54820.301914949996,18273.43397165
2984500.0,24400,15.064813,369096.363167,55364.45447505,18454.81815835
3009000.0,24500,15.15189,372744.952366,55911.742854899996,18637.2476183
3033600.0,24600,15.23911,376414.481288,56462.1721932,18820.7240644
3058300.0,24700,15.326473,380104.984108,57015.7476162,19005.2492054
3083100.0,24800,15.413977,383816.494917,57572.47423755,19190.82474585
3108000.0,24900,15.501623,387549.047724,58132.357158599996,19377.452386200002
3133000.0,25000,15.58941,391302.676457,58695.40146855,19565.133822850003
3158100.0,25100,15.677339,395077.414958,59261.6122437,19753.8707479
3183300.0,25200,15.765408,398873.296993,59830.99454895,19943.664849650002
3208600.0,25300,15.853617,402690.356245,60403.55343674999,20134.51781225
3234000.0,25400,15.941966,406528.626315,60979.29394725,20326.43131575
3259500.0,25500,16.030455,410388.140728,61558.2211092,20519.407036400004
